invoice_id,branch,city,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,weekday,hour,total_amount
52,WALM093,Angleton,Food and beverages,44.59,5.0,2019-10-02,1900-01-01 15:10:00,Cash,8.5,0.33,Wednesday,15,223.0
53,WALM041,Mission,Fashion accessories,17.87,4.0,2019-03-22,1900-01-01 14:42:00,Ewallet,6.5,0.48,Friday,14,71.5
54,WALM045,Missouri City,Fashion accessories,15.43,1.0,2019-01-25,1900-01-01 15:46:00,Credit card,6.1,0.48,Friday,15,15.5
55,WALM005,Fort Worth,Home and lifestyle,16.16,2.0,2019-07-03,1900-01-01 11:49:00,Ewallet,6.5,0.48,Wednesday,11,32.4
56,WALM042,Bryan,Electronic accessories,85.98,8.0,2019-02-28,1900-01-01 19:01:00,Cash,8.2,0.48,Thursday,19,687.9
57,WALM003,San Antonio,Home and lifestyle,44.34,2.0,2019-03-27,1900-01-01 11:26:00,Cash,5.8,0.36,Wednesday,11,88.7
58,WALM070,Hurst,Health and beauty,89.6,8.0,2019-07-02,1900-01-01 11:28:00,Ewallet,6.6,0.33,Tuesday,11,716.8
59,WALM066,Grapevine,Home and lifestyle,72.35,10.0,2019-01-20,1900-01-01 15:55:00,Cash,5.4,0.33,Sunday,15,723.5
60,WALM031,Lewisville,Electronic accessories,30.61,6.0,2019-12-03,1900-01-01 20:36:00,Cash,9.3,0.48,Tuesday,20,183.7
61,WALM042,Bryan,Sports and travel,24.74,3.0,2019-02-15,1900-01-01 17:47:00,Credit card,10.0,0.48,Friday,17,74.3
62,WALM078,Del Rio,Home and lifestyle,55.73,6.0,2019-02-24,1900-01-01 10:55:00,Ewallet,7.0,0.33,Sunday,10,334.4
63,WALM037,League City,Sports and travel,55.07,9.0,2019-03-02,1900-01-01 13:40:00,Ewallet,10.0,0.48,Saturday,13,495.7
64,WALM069,Rockwall,Sports and travel,15.81,10.0,2019-06-03,1900-01-01 12:27:00,Credit card,8.6,0.33,Monday,12,158.1
65,WALM087,Waxahachie,Health and beauty,75.74,4.0,2019-02-14,1900-01-01 14:35:00,Cash,7.6,0.33,Thursday,14,303.0
66,WALM042,Bryan,Health and beauty,15.87,10.0,2019-03-13,1900-01-01 16:40:00,Cash,5.8,0.48,Wednesday,16,158.7
67,WALM020,Killeen,Health and beauty,33.47,2.0,2019-10-02,1900-01-01 15:43:00,Ewallet,6.7,0.48,Wednesday,15,67.0
68,WALM029,Round Rock,Fashion accessories,97.61,6.0,2019-07-01,1900-01-01 15:01:00,Ewallet,9.9,0.48,Monday,15,585.7
69,WALM079,La Porte,Sports and travel,78.77,10.0,2019-01-24,1900-01-01 10:04:00,Cash,6.4,0.33,Thursday,10,787.7
70,WALM035,San Angelo,Health and beauty,18.33,1.0,2019-02-02,1900-01-01 18:50:00,Cash,4.3,0.48,Saturday,18,18.4
71,WALM007,Arlington,Food and beverages,89.48,10.0,2019-06-01,1900-01-01 12:46:00,Credit card,9.6,0.48,Saturday,12,894.8
72,WALM017,McKinney,Fashion accessories,62.12,10.0,2019-11-02,1900-01-01 16:19:00,Cash,5.9,0.48,Saturday,16,621.2
73,WALM096,Eagle Pass,Food and beverages,48.52,3.0,2019-05-03,1900-01-01 18:17:00,Ewallet,4.0,0.18,Friday,18,145.6
74,WALM083,Farmers Branch,Electronic accessories,75.91,6.0,2019-09-03,1900-01-01 18:21:00,Cash,8.7,0.33,Tuesday,18,455.5
75,WALM072,Lancaster,Home and lifestyle,74.67,9.0,2019-01-22,1900-01-01 10:55:00,Ewallet,9.4,0.33,Tuesday,10,672.1
76,WALM003,San Antonio,Electronic accessories,41.65,10.0,2019-01-13,1900-01-01 17:04:00,Credit card,5.4,0.48,Sunday,17,416.5
77,WALM058,Port Arthur,Fashion accessories,49.04,9.0,2019-09-01,1900-01-01 14:20:00,Credit card,8.6,0.33,Sunday,14,441.4
78,WALM094,Alamo,Fashion accessories,20.01,9.0,2019-12-01,1900-01-01 15:48:00,Credit card,5.7,0.33,Sunday,15,180.1
79,WALM063,Georgetown,Food and beverages,78.31,10.0,2019-05-03,1900-01-01 16:24:00,Ewallet,6.6,0.33,Friday,16,783.1
80,WALM071,Lufkin,Health and beauty,20.38,5.0,2019-01-22,1900-01-01 18:56:00,Cash,6.0,0.33,Tuesday,18,101.9
81,WALM061,Cedar Park,Health and beauty,99.19,6.0,2019-01-21,1900-01-01 14:42:00,Credit card,5.5,0.33,Monday,14,595.2
82,WALM090,Brownwood,Food and beverages,96.68,3.0,2019-01-26,1900-01-01 19:56:00,Ewallet,6.4,0.33,Saturday,19,290.1
83,WALM061,Cedar Park,Food and beverages,19.25,8.0,2019-01-23,1900-01-01 18:37:00,Ewallet,6.6,0.33,Wednesday,18,154.0
84,WALM041,Mission,Food and beverages,80.36,4.0,2019-02-23,1900-01-01 18:45:00,Ewallet,8.3,0.48,Saturday,18,321.5
85,WALM097,Alice,Sports and travel,48.91,5.0,2019-09-03,1900-01-01 10:17:00,Cash,6.6,0.18,Tuesday,10,244.6
86,WALM043,Baytown,Sports and travel,83.06,7.0,2019-05-03,1900-01-01 14:31:00,Ewallet,4.0,0.48,Friday,14,581.5
87,WALM042,Bryan,Fashion accessories,76.52,5.0,2019-03-25,1900-01-01 10:23:00,Cash,9.9,0.48,Monday,10,382.6
88,WALM046,Temple,Food and beverages,49.38,7.0,2019-03-27,1900-01-01 20:35:00,Credit card,7.3,0.48,Wednesday,20,345.7
89,WALM011,Lubbock,Sports and travel,42.47,1.0,2019-02-01,1900-01-01 16:57:00,Cash,5.7,0.48,Friday,16,42.5
90,WALM064,Bedford,Health and beauty,76.99,6.0,2019-02-27,1900-01-01 17:55:00,Cash,6.1,0.33,Wednesday,17,462.0
91,WALM095,Big Spring,Home and lifestyle,47.38,4.0,2019-01-23,1900-01-01 10:25:00,Cash,7.1,0.33,Wednesday,10,189.6
92,WALM049,North Richland Hills,Sports and travel,44.86,10.0,2019-01-26,1900-01-01 19:54:00,Ewallet,8.2,0.48,Saturday,19,448.6
93,WALM040,Edinburg,Sports and travel,21.98,7.0,2019-10-01,1900-01-01 16:42:00,Ewallet,5.1,0.48,Tuesday,16,153.9
94,WALM065,Texas City,Health and beauty,64.36,9.0,2019-12-03,1900-01-01 12:09:00,Credit card,8.6,0.33,Tuesday,12,579.3
95,WALM075,San Marcos,Health and beauty,89.75,1.0,2019-06-02,1900-01-01 20:05:00,Credit card,6.6,0.33,Sunday,20,89.8
96,WALM034,College Station,Electronic accessories,97.16,1.0,2019-08-03,1900-01-01 20:38:00,Ewallet,7.2,0.48,Saturday,20,97.2
97,WALM014,Amarillo,Health and beauty,87.87,10.0,2019-03-29,1900-01-01 10:25:00,Ewallet,5.1,0.48,Friday,10,878.7
98,WALM096,Eagle Pass,Electronic accessories,12.45,6.0,2019-09-02,1900-01-01 13:11:00,Cash,4.1,0.18,Monday,13,74.7
99,WALM004,Austin,Food and beverages,52.75,3.0,2019-03-23,1900-01-01 10:16:00,Ewallet,9.3,0.48,Saturday,10,158.3
100,WALM011,Lubbock,Home and lifestyle,82.7,6.0,2019-05-03,1900-01-01 18:14:00,Cash,7.4,0.48,Friday,18,496.2
101,WALM075,San Marcos,Fashion accessories,48.71,1.0,2019-03-26,1900-01-01 19:20:00,Cash,4.1,0.33,Tuesday,19,48.8
102,WALM057,Euless,Fashion accessories,78.55,9.0,2019-01-03,1900-01-01 13:22:00,Cash,7.2,0.33,Thursday,13,707.0
103,WALM023,Midland,Electronic accessories,23.07,9.0,2019-01-02,1900-01-01 11:27:00,Cash,4.9,0.48,Wednesday,11,207.7
104,WALM012,Garland,Food and beverages,58.26,6.0,2019-03-28,1900-01-01 16:44:00,Cash,9.9,0.48,Thursday,16,349.6
105,WALM078,Del Rio,Health and beauty,30.35,7.0,2019-03-19,1900-01-01 18:19:00,Cash,8.0,0.33,Tuesday,18,212.5
106,WALM055,Waxahachie,Electronic accessories,88.67,10.0,2019-12-01,1900-01-01 14:50:00,Ewallet,7.3,0.33,Sunday,14,886.7
107,WALM038,Sugar Land,Fashion accessories,27.38,6.0,2019-05-01,1900-01-01 20:54:00,Credit card,7.9,0.48,Wednesday,20,164.3
108,WALM049,North Richland Hills,Sports and travel,62.13,6.0,2019-03-22,1900-01-01 20:19:00,Cash,7.4,0.48,Friday,20,372.8
109,WALM044,Pharr,Food and beverages,33.98,9.0,2019-03-24,1900-01-01 10:43:00,Cash,4.2,0.48,Sunday,10,305.9
110,WALM056,Rowlett,Electronic accessories,81.97,10.0,2019-03-03,1900-01-01 14:30:00,Cash,9.2,0.33,Sunday,14,819.7
111,WALM007,Arlington,Sports and travel,16.49,2.0,2019-05-02,1900-01-01 11:32:00,Ewallet,4.6,0.48,Thursday,11,33.0
112,WALM025,Waco,Health and beauty,98.21,3.0,2019-05-02,1900-01-01 10:41:00,Credit card,7.8,0.48,Thursday,10,294.7
113,WALM005,Fort Worth,Fashion accessories,72.84,7.0,2019-02-15,1900-01-01 12:44:00,Cash,8.4,0.48,Friday,12,509.9
114,WALM024,Carrollton,Home and lifestyle,58.07,9.0,2019-01-19,1900-01-01 20:07:00,Ewallet,4.3,0.48,Saturday,20,522.7
115,WALM003,San Antonio,Home and lifestyle,80.79,9.0,2019-01-02,1900-01-01 20:31:00,Credit card,9.5,0.36,Wednesday,20,727.2
116,WALM087,Waxahachie,Fashion accessories,27.02,3.0,2019-02-03,1900-01-01 13:01:00,Credit card,7.1,0.33,Sunday,13,81.1
117,WALM040,Edinburg,Fashion accessories,21.94,5.0,2019-05-03,1900-01-01 12:29:00,Ewallet,5.3,0.48,Friday,12,109.7
118,WALM071,Lufkin,Fashion accessories,51.36,1.0,2019-01-16,1900-01-01 15:26:00,Ewallet,5.2,0.33,Wednesday,15,51.4
119,WALM027,Abilene,Food and beverages,10.96,10.0,2019-02-02,1900-01-01 20:48:00,Ewallet,6.0,0.48,Saturday,20,109.6
120,WALM071,Lufkin,Home and lifestyle,53.44,2.0,2019-01-20,1900-01-01 20:38:00,Ewallet,4.1,0.33,Sunday,20,106.9
121,WALM014,Amarillo,Electronic accessories,99.56,8.0,2019-02-14,1900-01-01 17:03:00,Credit card,5.2,0.48,Thursday,17,796.5
122,WALM069,Rockwall,Sports and travel,57.12,7.0,2019-12-01,1900-01-01 12:02:00,Credit card,6.5,0.33,Sunday,12,399.9
123,WALM085,Kerrville,Sports and travel,99.96,9.0,2019-09-03,1900-01-01 17:26:00,Credit card,4.2,0.33,Tuesday,17,899.7
124,WALM061,Cedar Park,Home and lifestyle,63.91,8.0,2019-03-13,1900-01-01 19:52:00,Credit card,4.6,0.33,Wednesday,19,511.3
125,WALM088,Cleburne,Fashion accessories,56.47,8.0,2019-09-03,1900-01-01 14:57:00,Ewallet,7.3,0.33,Tuesday,14,451.8
126,WALM034,College Station,Home and lifestyle,93.69,7.0,2019-10-03,1900-01-01 18:44:00,Credit card,4.5,0.48,Thursday,18,655.9
127,WALM016,Brownsville,Sports and travel,32.25,5.0,2019-01-27,1900-01-01 13:26:00,Cash,9.0,0.48,Sunday,13,161.3
128,WALM044,Pharr,Fashion accessories,31.73,9.0,2019-08-01,1900-01-01 16:17:00,Credit card,5.9,0.48,Thursday,16,285.6
129,WALM035,San Angelo,Food and beverages,68.54,8.0,2019-08-01,1900-01-01 15:57:00,Ewallet,8.5,0.48,Thursday,15,548.4
130,WALM018,Frisco,Sports and travel,90.28,9.0,2019-08-02,1900-01-01 11:15:00,Ewallet,7.2,0.48,Friday,11,812.6
131,WALM022,Mesquite,Fashion accessories,39.62,7.0,2019-01-25,1900-01-01 13:18:00,Cash,7.5,0.48,Friday,13,277.4
132,WALM068,Burleson,Sports and travel,92.13,6.0,2019-06-03,1900-01-01 20:34:00,Cash,8.3,0.33,Monday,20,552.8
133,WALM055,Waxahachie,Sports and travel,34.84,4.0,2019-10-02,1900-01-01 18:36:00,Cash,7.4,0.33,Wednesday,18,139.4
134,WALM002,Dallas,Electronic accessories,87.45,6.0,2019-02-17,1900-01-01 14:40:00,Credit card,8.8,0.36,Sunday,14,524.7
135,WALM062,Galveston,Health and beauty,81.3,6.0,2019-08-03,1900-01-01 16:43:00,Ewallet,5.3,0.33,Saturday,16,487.8
136,WALM098,Mineral Wells,Fashion accessories,90.22,3.0,2019-02-18,1900-01-01 19:39:00,Cash,6.2,0.18,Monday,19,270.7
137,WALM027,Abilene,Electronic accessories,26.31,5.0,2019-01-18,1900-01-01 20:59:00,Credit card,8.8,0.48,Friday,20,131.6
138,WALM093,Angleton,Home and lifestyle,34.42,6.0,2019-02-18,1900-01-01 15:39:00,Cash,9.8,0.33,Monday,15,206.6
139,WALM029,Round Rock,Sports and travel,51.91,10.0,2019-02-16,1900-01-01 12:21:00,Cash,8.2,0.48,Saturday,12,519.1
140,WALM016,Brownsville,Sports and travel,72.5,8.0,2019-03-16,1900-01-01 19:25:00,Ewallet,9.2,0.48,Saturday,19,580.0
141,WALM023,Midland,Sports and travel,89.8,10.0,2019-01-23,1900-01-01 13:00:00,Credit card,5.4,0.48,Wednesday,13,898.0
142,WALM012,Garland,Health and beauty,90.5,10.0,2019-01-25,1900-01-01 13:48:00,Cash,8.1,0.48,Friday,13,905.0
143,WALM052,Mansfield,Health and beauty,68.6,10.0,2019-05-02,1900-01-01 19:57:00,Cash,9.1,0.57,Thursday,19,686.0
144,WALM097,Alice,Food and beverages,30.41,1.0,2019-02-22,1900-01-01 10:36:00,Credit card,8.4,0.18,Friday,10,30.5
145,WALM045,Missouri City,Home and lifestyle,77.95,6.0,2019-01-21,1900-01-01 16:37:00,Credit card,8.0,0.48,Monday,16,467.7
146,WALM047,Flower Mound,Health and beauty,46.26,6.0,2019-08-03,1900-01-01 17:11:00,Credit card,9.5,0.48,Saturday,17,277.6
147,WALM026,Denton,Fashion accessories,30.14,10.0,2019-10-02,1900-01-01 12:28:00,Ewallet,9.2,0.48,Wednesday,12,301.4
148,WALM054,Sherman,Health and beauty,66.14,4.0,2019-03-19,1900-01-01 12:46:00,Credit card,5.6,0.21,Tuesday,12,264.6
149,WALM049,North Richland Hills,Home and lifestyle,71.86,8.0,2019-06-03,1900-01-01 15:07:00,Credit card,6.2,0.48,Monday,15,574.9
150,WALM065,Texas City,Health and beauty,32.46,8.0,2019-03-27,1900-01-01 13:48:00,Credit card,4.9,0.33,Wednesday,13,259.7
151,WALM016,Brownsville,Fashion accessories,91.54,4.0,2019-03-23,1900-01-01 19:20:00,Credit card,4.8,0.48,Saturday,19,366.2
152,WALM070,Hurst,Sports and travel,34.56,7.0,2019-11-03,1900-01-01 16:07:00,Credit card,7.3,0.33,Sunday,16,242.0
153,WALM099,Weatherford,Fashion accessories,83.24,9.0,2019-01-29,1900-01-01 11:56:00,Credit card,7.4,0.18,Tuesday,11,749.2
154,WALM071,Lufkin,Food and beverages,16.48,6.0,2019-07-02,1900-01-01 18:23:00,Ewallet,9.9,0.33,Tuesday,18,98.9
155,WALM078,Del Rio,Sports and travel,80.97,8.0,2019-01-28,1900-01-01 13:05:00,Cash,9.3,0.33,Monday,13,647.8
156,WALM074,Weslaco,Food and beverages,92.29,5.0,2019-02-20,1900-01-01 15:55:00,Cash,9.0,0.33,Wednesday,15,461.5
157,WALM042,Bryan,Electronic accessories,72.17,1.0,2019-04-01,1900-01-01 19:40:00,Cash,6.1,0.48,Monday,19,72.2
158,WALM013,Irving,Home and lifestyle,50.28,5.0,2019-07-03,1900-01-01 13:58:00,Ewallet,9.7,0.48,Wednesday,13,251.4
159,WALM100,Canyon,Health and beauty,97.22,9.0,2019-03-30,1900-01-01 14:43:00,Ewallet,6.0,0.18,Saturday,14,875.0
160,WALM094,Alamo,Sports and travel,93.39,6.0,2019-03-27,1900-01-01 19:18:00,Ewallet,10.0,0.33,Wednesday,19,560.4
161,WALM028,Odessa,Food and beverages,43.18,8.0,2019-01-19,1900-01-01 19:39:00,Credit card,8.3,0.48,Saturday,19,345.5
162,WALM019,Pasadena,Sports and travel,63.69,1.0,2019-02-25,1900-01-01 16:21:00,Cash,6.0,0.48,Monday,16,63.7
163,WALM011,Lubbock,Food and beverages,45.79,7.0,2019-03-13,1900-01-01 19:44:00,Credit card,7.0,0.48,Wednesday,19,320.6
164,WALM084,Schertz,Sports and travel,76.4,2.0,2019-01-30,1900-01-01 19:42:00,Ewallet,6.5,0.33,Wednesday,19,152.8
165,WALM057,Euless,Food and beverages,39.9,10.0,2019-02-20,1900-01-01 15:24:00,Credit card,5.9,0.33,Wednesday,15,399.0
166,WALM088,Cleburne,Health and beauty,42.57,8.0,2019-02-25,1900-01-01 14:12:00,Ewallet,5.6,0.33,Monday,14,340.6
167,WALM061,Cedar Park,Home and lifestyle,95.58,10.0,2019-01-16,1900-01-01 13:32:00,Cash,4.8,0.33,Wednesday,13,955.8
168,WALM040,Edinburg,Fashion accessories,98.98,10.0,2019-08-02,1900-01-01 16:20:00,Credit card,8.7,0.48,Friday,16,989.8
169,WALM069,Rockwall,Food and beverages,51.28,6.0,2019-01-19,1900-01-01 16:31:00,Cash,6.5,0.33,Saturday,16,307.7
170,WALM089,Southlake,Sports and travel,69.52,7.0,2019-01-02,1900-01-01 15:10:00,Credit card,8.5,0.33,Wednesday,15,486.7
171,WALM031,Lewisville,Health and beauty,70.01,5.0,2019-03-01,1900-01-01 11:36:00,Ewallet,5.5,0.48,Friday,11,350.1
172,WALM039,Longview,Food and beverages,80.05,5.0,2019-01-26,1900-01-01 12:45:00,Credit card,9.4,0.48,Saturday,12,400.3
173,WALM039,Longview,Electronic accessories,20.85,8.0,2019-03-03,1900-01-01 19:17:00,Cash,6.3,0.48,Sunday,19,166.8
174,WALM047,Flower Mound,Electronic accessories,52.89,6.0,2019-01-19,1900-01-01 17:34:00,Credit card,9.8,0.48,Saturday,17,317.4
175,WALM071,Lufkin,Food and beverages,19.79,8.0,2019-01-18,1900-01-01 12:04:00,Ewallet,8.7,0.33,Friday,12,158.4
176,WALM060,DeSoto,Home and lifestyle,33.84,9.0,2019-03-21,1900-01-01 16:21:00,Ewallet,8.8,0.33,Thursday,16,304.6
177,WALM073,Seguin,Food and beverages,22.17,8.0,2019-03-03,1900-01-01 17:01:00,Credit card,9.6,0.33,Sunday,17,177.4
178,WALM059,Pflugerville,Fashion accessories,22.51,7.0,2019-02-13,1900-01-01 10:50:00,Credit card,4.8,0.33,Wednesday,10,157.6
179,WALM012,Garland,Food and beverages,73.88,6.0,2019-03-23,1900-01-01 19:16:00,Ewallet,4.4,0.48,Saturday,19,443.3
180,WALM086,Rosenberg,Health and beauty,86.8,3.0,2019-01-28,1900-01-01 16:47:00,Ewallet,9.9,0.33,Monday,16,260.4
181,WALM073,Seguin,Fashion accessories,64.26,7.0,2019-09-02,1900-01-01 10:00:00,Cash,5.7,0.33,Monday,10,449.9
182,WALM028,Odessa,Food and beverages,38.47,8.0,2019-01-23,1900-01-01 11:51:00,Cash,7.7,0.48,Wednesday,11,307.8
183,WALM053,Conroe,Sports and travel,15.5,10.0,2019-03-23,1900-01-01 10:55:00,Ewallet,8.0,0.57,Saturday,10,155.0
184,WALM024,Carrollton,Health and beauty,34.31,8.0,2019-01-25,1900-01-01 15:00:00,Ewallet,5.7,0.48,Friday,15,274.5
185,WALM097,Alice,Sports and travel,12.34,7.0,2019-04-03,1900-01-01 11:19:00,Credit card,6.7,0.18,Wednesday,11,86.4
186,WALM072,Lancaster,Food and beverages,18.08,3.0,2019-05-03,1900-01-01 19:46:00,Ewallet,8.0,0.33,Friday,19,54.3
187,WALM023,Midland,Home and lifestyle,94.49,8.0,2019-03-03,1900-01-01 19:00:00,Ewallet,7.5,0.48,Sunday,19,756.0
188,WALM038,Sugar Land,Home and lifestyle,46.47,4.0,2019-08-02,1900-01-01 10:53:00,Cash,7.0,0.48,Friday,10,185.9
189,WALM078,Del Rio,Home and lifestyle,74.07,1.0,2019-10-02,1900-01-01 12:50:00,Ewallet,9.9,0.33,Wednesday,12,74.1
190,WALM084,Schertz,Home and lifestyle,69.81,4.0,2019-01-28,1900-01-01 20:50:00,Credit card,5.9,0.33,Monday,20,279.3
191,WALM059,Pflugerville,Home and lifestyle,77.04,3.0,2019-11-02,1900-01-01 10:39:00,Credit card,7.2,0.33,Saturday,10,231.2
192,WALM062,Galveston,Fashion accessories,73.52,2.0,2019-01-15,1900-01-01 13:41:00,Ewallet,4.6,0.33,Tuesday,13,147.1
